@relation answerExp4
@attribute AnswerType STRING
@attribute FirstWord STRING
@attribute SecondWord STRING
@attribute ThirdWord STRING
@data
"HUM:ind" , "what" , "contemptible" , "scoundrel" 
"HUM:ind" , "name" , "the" , "bounty" 
"NUM:date" , "when" , "be" , "ozzy" 
"HUM:ind" , "who" , "be" , "the" 
"HUM:ind" , "who" , "kill" , "gandhi" 
"LOC:state" , "what" , "sprawl" , "state" 
"NUM:count" , "how" , "many" , "jew" 
"NUM:date" , "what" , "be" , "the" 
"HUM:ind" , "name" , "famous" , "martyr" 
"HUM:ind" , "who" , "be" , "the" 
"LOC:other" , "what" , "be" , "the" 
"LOC:state" , "which" , "two" , "state" 
"NUM:count" , "how" , "many" , "point" 
"NUM:count" , "how" , "many" , "community" 
"NUM:date" , "when" , "do" , "the" 
"LOC:other" , "where" , "do" , "the" 
"NUM:count" , "how" , "many" , "people" 
"NUM:count" , "how" , "many" , "inch" 
"HUM:ind" , "what" , "cowboy" , "star" 
"LOC:country" , "what" , "country" , "do" 
"HUM:ind" , "who" , "be" , "the" 
"HUM:ind" , "who" , "be" , "snoopy" 
"LOC:state" , "what" , "state" , "live" 
"LOC:other" , "where" , "be" , "the" 
"LOC:country" , "what" , "country" , "capital" 
"HUM:ind" , "who" , "do" , "herb" 
"LOC:city" , "which" , "city" , "have" 
"LOC:other" , "what" , "be" , "the" 
"LOC:other" , "what" , "body" , "of" 
"HUM:ind" , "who" , "be" , "the" 
"HUM:ind" , "who" , "star" , "in" 
"HUM:ind" , "what" , "painter" , "die" 
"LOC:country" , "what" , "country" , "do" 
"NUM:count" , "how" , "many" , "specie" 
"LOC:state" , "what" , "be" , "the" 
"NUM:count" , "how" , "many" , "villus" 
"LOC:country" , "what" , "country" , "do" 
"HUM:ind" , "who" , "be" , "the" 
"NUM:date" , "in" , "which" , "year" 
"NUM:date" , "when" , "do" , "cnn" 
"NUM:date" , "when" , "do" , "rococo" 
"LOC:country" , "what" , "country" , "national" 
"HUM:ind" , "which" , "of" , "the" 
"HUM:ind" , "who" , "comprise" , "the" 
"LOC:state" , "what" , "state" , "be" 
"LOC:mount" , "where" , "be" , "the" 
"LOC:other" , "where" , "do" , "barney" 
"LOC:other" , "what" , "be" , "the" 
"LOC:other" , "where" , "on" , "the" 
"NUM:money" , "how" , "much" , "money" 
"LOC:other" , "where" , "can" , "i" 
"NUM:period" , "how" , "long" , "do" 
"HUM:ind" , "what" , "crooner" , "join" 
"NUM:date" , "when" , "do" , "the" 
"NUM:money" , "how" , "much" , "would" 
"HUM:ind" , "what" , "actress" , "have" 
"NUM:count" , "how" , "many" , "year" 
"LOC:other" , "where" , "be" , "the" 
"LOC:city" , "what" , "city" , "boast" 
"NUM:count" , "how" , "many" , "hostage" 
"HUM:ind" , "who" , "earn" , "their" 
"HUM:ind" , "who" , "found" , "the" 
"HUM:ind" , "what" , "athlete" , "make" 
"NUM:count" , "how" , "many" , "bend" 
"HUM:ind" , "who" , "discover" , "electricity" 
"HUM:ind" , "who" , "be" , "the" 
"LOC:country" , "what" , "two" , "south" 
"NUM:date" , "what" , "be" , "the" 
"LOC:other" , "where" , "be" , "the" 
"HUM:ind" , "who" , "be" , "the" 
"LOC:other" , "what" , "wide" , "valley" 
"NUM:date" , "in" , "what" , "year" 
"NUM:count" , "how" , "many" , "month" 
"LOC:other" , "where" , "be" , "the" 
"NUM:date" , "in" , "what" , "year" 
"HUM:ind" , "who" , "sing" , "the" 
"HUM:ind" , "who" , "direct" , "jaw" 
"NUM:count" , "how" , "many" , "colony" 
"LOC:city" , "what" , "be" , "the" 
"LOC:other" , "where" , "can" , "i" 
"HUM:ind" , "what" , "be" , "the" 
"NUM:date" , "what" , "be" , "the" 
"LOC:country" , "what" , "country" , "contain" 
"LOC:other" , "where" , "be" , "the" 
"LOC:city" , "what" , "city" , "be" 
"HUM:ind" , "who" , "create" , "dennis" 
"HUM:ind" , "what" , "dummy" , "receive" 
"NUM:date" , "when" , "be" , "the" 
"LOC:country" , "what" , "country" , "have" 
"HUM:ind" , "name" , "alvin" , "brother" 
"NUM:date" , "when" , "do" , "the" 
"HUM:ind" , "what" , "actor" , "say" 
"HUM:ind" , "what" , "explorer" , "be" 
"NUM:date" , "cnn" , "begin" , "broadcast" 
"LOC:city" , "what" , "south" , "american" 
"NUM:count" , "how" , "many" , "specie" 
"NUM:count" , "how" , "many" , "people" 
"NUM:volsize" , "what" , "be" , "the" 
"NUM:date" , "when" , "do" , "beethoven" 
"NUM:money" , "how" , "much" , "do" 
"LOC:country" , "what" , "two" , "european" 
"HUM:ind" , "what" , "russian" , "composer" 
"HUM:ind" , "who" , "be" , "the" 
"NUM:count" , "how" , "many" , "revolution" 
"LOC:mount" , "what" , "be" , "the" 
"LOC:other" , "where" , "can" , "i" 
"HUM:ind" , "what" , "be" , "the" 
"NUM:count" , "how" , "many" , "south" 
"LOC:other" , "where" , "be" , "george" 
"NUM:count" , "how" , "many" , "people" 
"HUM:ind" , "who" , "write" , "nn" 
"NUM:date" , "when" , "be" , "the" 
"HUM:ind" , "what" , "diminutive" , "american" 
"NUM:date" , "when" , "do" , "the" 
"LOC:other" , "what" , "las" , "vegas" 
"NUM:date" , "when" , "do" , "mount" 
"NUM:date" , "when" , "do" , "world" 
"NUM:count" , "how" , "many" , "foot" 
"LOC:city" , "what" , "european" , "city" 
"HUM:ind" , "who" , "be" , "president" 
"HUM:ind" , "who" , "be" , "the" 
"HUM:ind" , "who" , "be" , "the" 
"HUM:ind" , "who" , "be" , "the" 
"NUM:date" , "when" , "be" , "box" 
"NUM:date" , "when" , "be" , "the" 
"NUM:count" , "how" , "many" , "people" 
"NUM:date" , "when" , "do" , "spielberg" 
"NUM:volsize" , "what" , "be" , "the" 
"LOC:city" , "what" , "be" , "california" 
"HUM:ind" , "who" , "be" , "the" 
"HUM:ind" , "who" , "be" , "the" 
"LOC:country" , "what" , "european" , "country" 
"LOC:other" , "where" , "be" , "christopher" 
"LOC:other" , "what" , "sea" , "do" 
"LOC:city" , "what" , "city" , "do" 
"HUM:ind" , "which" , "doonesbury" , "character" 
"LOC:other" , "what" , "stadium" , "do" 
"HUM:ind" , "who" , "have" , "the" 
"NUM:other" , "what" , "be" , "einstein" 
"NUM:date" , "what" , "day" , "be" 
"HUM:ind" , "what" , "girl" , "name" 
"LOC:state" , "what" , "state" , "be" 
"LOC:state" , "what" , "state" , "have" 
"NUM:count" , "how" , "many" , "year" 
"LOC:other" , "what" , "be" , "the" 
"NUM:other" , "what" , "be" , "the" 
