@relation answerExp2
@attribute AnswerType STRING
@attribute Question STRING
@data
"HUM:ind" , "what contemptible scoundrel steal the cork from my lunch" 
"HUM:ind" , "name the bounty hunter of the old west" 
"NUM:date" , "when be ozzy osbourne bear" 
"HUM:ind" , "who be the pride of the yankee" 
"HUM:ind" , "who kill gandhi" 
"LOC:state" , "what sprawl state boast the most airport" 
"NUM:count" , "how many jew be execute in concentration camp during wwii" 
"NUM:date" , "what be the date of box day" 
"HUM:ind" , "name famous martyr" 
"HUM:ind" , "who be the inventor of silly putty" 
"LOC:other" , "what be the high waterfall in the united state" 
"LOC:state" , "which two state enclose chesapeake bay" 
"NUM:count" , "how many point make up a perfect fivepin bowl score" 
"NUM:count" , "how many community chest card be there in monopoly" 
"NUM:date" , "when do the neanderthal man live" 
"LOC:other" , "where do the adventure of the swiss family robinson take place" 
"NUM:count" , "how many people in the world speak french" 
"NUM:count" , "how many inch over six foot be the venus de milo" 
"HUM:ind" , "what cowboy star rode tony the wonder horse" 
"LOC:country" , "what country do the galapagos islands belong to" 
"HUM:ind" , "who be the prophet of the muslim people" 
"HUM:ind" , "who be snoopy" 
"LOC:state" , "what state live under six flag" 
"LOC:other" , "where be the loop" 
"LOC:country" , "what country capital be tirana" 
"HUM:ind" , "who do herb and tootsie live next door to" 
"LOC:city" , "which city have the old relationship a a sisterðcity with los angeles" 
"LOC:other" , "what be the name of the tourist attraction in reims" 
"LOC:other" , "what body of water do the danube river flow into" 
"HUM:ind" , "who be the founder of scientology" 
"HUM:ind" , "who star in singing in the rain and the singing nun" 
"HUM:ind" , "what painter die in the marquesas island" 
"LOC:country" , "what country do the nazi occupy for cd nns in nnp nnp nnp" 
"NUM:count" , "how many specie of the great white shark be there" 
"LOC:state" , "what be the nickname for the state of mississippi" 
"NUM:count" , "how many villus be find in the small intestine" 
"LOC:country" , "what country do king wenceslas rule" 
"HUM:ind" , "who be the five marx brother" 
"NUM:date" , "in which year be new zealand exclude from the anzus alliance" 
"NUM:date" , "when do cnn begin broadcast" 
"NUM:date" , "when do rococo painting and architecture flourish" 
"LOC:country" , "what country national passenger rail system be call via" 
"HUM:ind" , "who invent" 
"HUM:ind" , "which of the following be rhodes scholar" 
"HUM:ind" , "who comprise the comic book team know a the champion" 
"LOC:state" , "what state be fort knox in" 
"LOC:mount" , "where be the high point in japan" 
"LOC:other" , "where do barney rubble go to work after he drop fred off in the flintstone cartoon series" 
"LOC:other" , "what be the world four ocean" 
"LOC:other" , "where on the internet can i find a song lyric database similar to the international lyric server" 
