@relation answerExp5
@attribute AnswerType STRING
@attribute FirstWord STRING
@attribute SecondWord STRING
@attribute ThirdWord STRING
@attribute FourthWord STRING
@data
"HUM:ind" , "what" , "contemptible" , "scoundrel" , "stole" 
"HUM:ind" , "name" , "the" , "bounty" , "hunter" 
"NUM:date" , "when" , "was" , "ozzy" , "osbourne" 
"HUM:ind" , "who" , "was" , "the" , "pride" 
"LOC:state" , "what" , "sprawling" , "state" , "boasts" 
"NUM:count" , "how" , "many" , "jews" , "were" 
"NUM:date" , "what" , "is" , "the" , "date" 
"HUM:ind" , "who" , "was" , "the" , "inventor" 
"LOC:other" , "what" , "is" , "the" , "highest" 
"LOC:state" , "which" , "two" , "states" , "enclose" 
"NUM:count" , "how" , "many" , "points" , "make" 
"NUM:count" , "how" , "many" , "community" , "chest" 
"NUM:date" , "when" , "did" , "the" , "neanderthal" 
"LOC:other" , "where" , "do" , "the" , "adventures" 
"NUM:count" , "how" , "many" , "people" , "in" 
"NUM:count" , "how" , "many" , "inches" , "over" 
"HUM:ind" , "what" , "cowboy" , "star" , "rode" 
"LOC:country" , "what" , "country" , "do" , "the" 
"HUM:ind" , "who" , "was" , "the" , "prophet" 
"LOC:state" , "what" , "state" , "lived" , "under" 
"LOC:other" , "where" , "is" , "the" , "loop" 
"LOC:country" , "what" , "country" , "capital" , "is" 
"HUM:ind" , "who" , "do" , "herb" , "and" 
"LOC:city" , "which" , "city" , "has" , "the" 
"LOC:other" , "what" , "are" , "the" , "names" 
"LOC:other" , "what" , "body" , "of" , "water" 
"HUM:ind" , "who" , "is" , "the" , "founder" 
"HUM:ind" , "who" , "starred" , "in" , "singing" 
"HUM:ind" , "what" , "painter" , "died" , "in" 
"LOC:country" , "what" , "country" , "did" , "the" 
"NUM:count" , "how" , "many" , "species" , "of" 
"LOC:state" , "what" , "is" , "the" , "nickname" 
"NUM:count" , "how" , "many" , "villi" , "are" 
"LOC:country" , "what" , "country" , "did" , "king" 
"HUM:ind" , "who" , "were" , "the" , "five" 
"NUM:date" , "in" , "which" , "year" , "was" 
"NUM:date" , "when" , "did" , "cnn" , "begin" 
"NUM:date" , "when" , "did" , "rococo" , "painting" 
"LOC:country" , "what" , "country" , "national" , "passenger" 
"HUM:ind" , "which" , "of" , "the" , "following" 
"HUM:ind" , "who" , "comprised" , "the" , "comic" 
"LOC:state" , "what" , "state" , "is" , "fort" 
"LOC:mount" , "where" , "is" , "the" , "highest" 
"LOC:other" , "where" , "does" , "barney" , "rubble" 
"LOC:other" , "what" , "are" , "the" , "world" 
"LOC:other" , "where" , "on" , "the" , "internet" 
"NUM:money" , "how" , "much" , "money" , "does" 
"LOC:other" , "where" , "can" , "i" , "find" 
"NUM:period" , "how" , "long" , "does" , "it" 
"HUM:ind" , "what" , "crooner" , "joined" , "the" 
"NUM:date" , "when" , "did" , "the" , "bounty" 
"NUM:money" , "how" , "much" , "would" , "it" 
"HUM:ind" , "what" , "actress" , "has" , "received" 
"NUM:count" , "how" , "many" , "years" , "do" 
"LOC:other" , "where" , "is" , "the" , "orinoco" 
"LOC:city" , "what" , "city" , "boasts" , "penn" 
"NUM:count" , "how" , "many" , "hostages" , "were" 
"HUM:ind" , "who" , "earns" , "their" , "money" 
"HUM:ind" , "who" , "founded" , "the" , "people" 
"HUM:ind" , "what" , "athlete" , "makes" , "the" 
"NUM:count" , "how" , "many" , "bends" , "are" 
"HUM:ind" , "who" , "was" , "the" , "first" 
"LOC:country" , "what" , "two" , "south" , "american" 
"NUM:date" , "what" , "is" , "the" , "busiest" 
