@relation answerExp7
@attribute AnswerType STRING
@attribute FirstWord STRING
@attribute SecondWord STRING
@attribute ThirdWord STRING
@attribute FirstAndSecond STRING
@attribute SecondAndThird STRING
@attribute FirstAndThird STRING
@data
"HUM:ind" , "what" , "contemptible" , "scoundrel" , "what contemptible" , "contemptible scoundrel" , "what scoundrel" 
"HUM:ind" , "name" , "the" , "bounty" , "name the" , "the bounty" , "name bounty" 
"NUM:date" , "when" , "was" , "ozzy" , "when was" , "was ozzy" , "when ozzy" 
"HUM:ind" , "who" , "was" , "the" , "who was" , "was the" , "who the" 
"HUM:ind" , "who" , "killed" , "gandhi" , "who killed" , "killed gandhi" , "who gandhi" 
"LOC:state" , "what" , "sprawling" , "state" , "what sprawling" , "sprawling state" , "what state" 
"NUM:count" , "how" , "many" , "jews" , "how many" , "many jews" , "how jews" 
"NUM:date" , "what" , "is" , "the" , "what is" , "is the" , "what the" 
"HUM:ind" , "name" , "famous" , "martyrs" , "name famous" , "famous martyrs" , "name martyrs" 
"HUM:ind" , "who" , "was" , "the" , "who was" , "was the" , "who the" 
"LOC:other" , "what" , "is" , "the" , "what is" , "is the" , "what the" 
"LOC:state" , "which" , "two" , "states" , "which two" , "two states" , "which states" 
"NUM:count" , "how" , "many" , "points" , "how many" , "many points" , "how points" 
"NUM:count" , "how" , "many" , "community" , "how many" , "many community" , "how community" 
"NUM:date" , "when" , "did" , "the" , "when did" , "did the" , "when the" 
"LOC:other" , "where" , "do" , "the" , "where do" , "do the" , "where the" 
"NUM:count" , "how" , "many" , "people" , "how many" , "many people" , "how people" 
"NUM:count" , "how" , "many" , "inches" , "how many" , "many inches" , "how inches" 
"HUM:ind" , "what" , "cowboy" , "star" , "what cowboy" , "cowboy star" , "what star" 
"LOC:country" , "what" , "country" , "do" , "what country" , "country do" , "what do" 
"HUM:ind" , "who" , "was" , "the" , "who was" , "was the" , "who the" 
"HUM:ind" , "who" , "is" , "snoopy" , "who is" , "is snoopy" , "who snoopy" 
"LOC:state" , "what" , "state" , "lived" , "what state" , "state lived" , "what lived" 
"LOC:other" , "where" , "is" , "the" , "where is" , "is the" , "where the" 
"LOC:country" , "what" , "country" , "capital" , "what country" , "country capital" , "what capital" 
"HUM:ind" , "who" , "do" , "herb" , "who do" , "do herb" , "who herb" 
"LOC:city" , "which" , "city" , "has" , "which city" , "city has" , "which has" 
"LOC:other" , "what" , "are" , "the" , "what are" , "are the" , "what the" 
