@relation answerExp10
@attribute AnswerType STRING
@attribute FirstWord STRING
@attribute SecondWord STRING
@attribute ThirdWord STRING
@attribute FourthWord STRING
@attribute FirstAndSecond STRING
@attribute SecondAndThird STRING
@attribute FirstAndThird STRING
@attribute FirstAndFourth STRING
@attribute SecondAndFourth STRING
@attribute ThirdAndFourth STRING
@data
"HUM:ind" , "what" , "contemptible" , "scoundrel" , "steal" , "what contemptible" , "contemptible scoundrel" , "what scoundrel" , "what steal" , "contemptible steal" , "scoundrel steal" 
"HUM:ind" , "name" , "the" , "bounty" , "hunter" , "name the" , "the bounty" , "name bounty" , "name hunter" , "the hunter" , "bounty hunter" 
"NUM:date" , "when" , "be" , "ozzy" , "osbourne" , "when be" , "be ozzy" , "when ozzy" , "when osbourne" , "be osbourne" , "ozzy osbourne" 
"HUM:ind" , "who" , "be" , "the" , "pride" , "who be" , "be the" , "who the" , "who pride" , "be pride" , "the pride" 
"LOC:state" , "what" , "sprawl" , "state" , "boast" , "what sprawl" , "sprawl state" , "what state" , "what boast" , "sprawl boast" , "state boast" 
"NUM:count" , "how" , "many" , "jew" , "be" , "how many" , "many jew" , "how jew" , "how be" , "many be" , "jew be" 
"NUM:date" , "what" , "be" , "the" , "date" , "what be" , "be the" , "what the" , "what date" , "be date" , "the date" 
"HUM:ind" , "who" , "be" , "the" , "inventor" , "who be" , "be the" , "who the" , "who inventor" , "be inventor" , "the inventor" 
"LOC:other" , "what" , "be" , "the" , "high" , "what be" , "be the" , "what the" , "what high" , "be high" , "the high" 
"LOC:state" , "which" , "two" , "state" , "enclose" , "which two" , "two state" , "which state" , "which enclose" , "two enclose" , "state enclose" 
"NUM:count" , "how" , "many" , "point" , "make" , "how many" , "many point" , "how point" , "how make" , "many make" , "point make" 
"NUM:count" , "how" , "many" , "community" , "chest" , "how many" , "many community" , "how community" , "how chest" , "many chest" , "community chest" 
"NUM:date" , "when" , "do" , "the" , "neanderthal" , "when do" , "do the" , "when the" , "when neanderthal" , "do neanderthal" , "the neanderthal" 
"LOC:other" , "where" , "do" , "the" , "adventure" , "where do" , "do the" , "where the" , "where adventure" , "do adventure" , "the adventure" 
"NUM:count" , "how" , "many" , "people" , "in" , "how many" , "many people" , "how people" , "how in" , "many in" , "people in" 
"NUM:count" , "how" , "many" , "inch" , "over" , "how many" , "many inch" , "how inch" , "how over" , "many over" , "inch over" 
"HUM:ind" , "what" , "cowboy" , "star" , "rode" , "what cowboy" , "cowboy star" , "what star" , "what rode" , "cowboy rode" , "star rode" 
"LOC:country" , "what" , "country" , "do" , "the" , "what country" , "country do" , "what do" , "what the" , "country the" , "do the" 
"HUM:ind" , "who" , "be" , "the" , "prophet" , "who be" , "be the" , "who the" , "who prophet" , "be prophet" , "the prophet" 
"LOC:state" , "what" , "state" , "live" , "under" , "what state" , "state live" , "what live" , "what under" , "state under" , "live under" 
"LOC:other" , "where" , "be" , "the" , "loop" , "where be" , "be the" , "where the" , "where loop" , "be loop" , "the loop" 
"LOC:country" , "what" , "country" , "capital" , "be" , "what country" , "country capital" , "what capital" , "what be" , "country be" , "capital be" 
"HUM:ind" , "who" , "do" , "herb" , "and" , "who do" , "do herb" , "who herb" , "who and" , "do and" , "herb and" 
"LOC:city" , "which" , "city" , "have" , "the" , "which city" , "city have" , "which have" , "which the" , "city the" , "have the" 
"LOC:other" , "what" , "be" , "the" , "name" , "what be" , "be the" , "what the" , "what name" , "be name" , "the name" 
"LOC:other" , "what" , "body" , "of" , "water" , "what body" , "body of" , "what of" , "what water" , "body water" , "of water" 
"HUM:ind" , "who" , "be" , "the" , "founder" , "who be" , "be the" , "who the" , "who founder" , "be founder" , "the founder" 
"HUM:ind" , "who" , "star" , "in" , "singing" , "who star" , "star in" , "who in" , "who singing" , "star singing" , "in singing" 
"HUM:ind" , "what" , "painter" , "die" , "in" , "what painter" , "painter die" , "what die" , "what in" , "painter in" , "die in" 
"LOC:country" , "what" , "country" , "do" , "the" , "what country" , "country do" , "what do" , "what the" , "country the" , "do the" 
"NUM:count" , "how" , "many" , "specie" , "of" , "how many" , "many specie" , "how specie" , "how of" , "many of" , "specie of" 
"LOC:state" , "what" , "be" , "the" , "nickname" , "what be" , "be the" , "what the" , "what nickname" , "be nickname" , "the nickname" 
"NUM:count" , "how" , "many" , "villus" , "be" , "how many" , "many villus" , "how villus" , "how be" , "many be" , "villus be" 
"LOC:country" , "what" , "country" , "do" , "king" , "what country" , "country do" , "what do" , "what king" , "country king" , "do king" 
"HUM:ind" , "who" , "be" , "the" , "five" , "who be" , "be the" , "who the" , "who five" , "be five" , "the five" 
"NUM:date" , "in" , "which" , "year" , "be" , "in which" , "which year" , "in year" , "in be" , "which be" , "year be" 
"NUM:date" , "when" , "do" , "cnn" , "begin" , "when do" , "do cnn" , "when cnn" , "when begin" , "do begin" , "cnn begin" 
"NUM:date" , "when" , "do" , "rococo" , "painting" , "when do" , "do rococo" , "when rococo" , "when painting" , "do painting" , "rococo painting" 
"LOC:country" , "what" , "country" , "national" , "passenger" , "what country" , "country national" , "what national" , "what passenger" , "country passenger" , "national passenger" 
"HUM:ind" , "which" , "of" , "the" , "following" , "which of" , "of the" , "which the" , "which following" , "of following" , "the following" 
